"","Filename","Priority","Title","Author","Origin","Call Number","Page Number","Page Sort","Genre","Luna URL","Hamnet URL"
"5075","091468.jpg",11407,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3437","1r",11477,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195146~191321","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5076","091469.jpg",11408,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3437","1v || 2r",11478,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195147~191320","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5077","091470.jpg",11409,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3437","2v",11479,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195148~191319","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5078","091471.jpg",11410,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3438","1r",11480,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195149~191318","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5079","091472.jpg",11411,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3438","1v || 2r",11481,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195150~191317","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5080","091473.jpg",11412,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3438","2v",11482,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195151~191316","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5081","091474.jpg",11413,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3439","1r",11483,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195152~191315","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5082","091475.jpg",11414,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3439","1v",11484,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195153~191314","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5083","091476.jpg",11415,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3439","2r",11485,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195154~191313","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5084","091477.jpg",11416,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3439","2v",11486,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195155~191312","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5085","091478.jpg",11417,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3440","1r",11487,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195156~191311","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5086","091479.jpg",11418,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3440","1v",11488,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195157~191310","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
